"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"04/21/2026","Buy to Open","RIVN 12/15/2028 13.00 C","CALL RIVIAN AUTOMOTIVE I$13 EXP 12/15/28","1","$9.85","$0.66","-$985.66"
"04/21/2026","Buy to Open","NOK 01/21/2028 7.00 C","CALL NOKIA CORP $7 EXP 01/21/28","5","$4.67","$3.31","-$2338.31"
"04/20/2026","Buy","LMT","LOCKHEED MARTIN CORP","10","$583.36","","-$5833.60"
"04/20/2026","Sell to Close","SPY 04/24/2026 709.00 P","PUT STATE STREET SPDR S&$709 EXP 04/24/26","1","$5.64","$0.67","$563.33"
"04/17/2026","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS CLASS A","100","$17.185","","-$1718.50"
"04/17/2026","Buy to Open","LMT 05/15/2026 595.00 C","CALL LOCKHEED MARTIN COR$595 EXP 05/15/26","1","$20.42","$0.66","-$2042.66"
"04/17/2026","Buy to Open","SPY 04/24/2026 724.00 C","CALL STATE STREET SPDR S$724 EXP 04/24/26","1","$0.48","$0.66","-$48.66"
"04/17/2026","Buy to Open","SPY 04/24/2026 709.00 P","PUT STATE STREET SPDR S&$709 EXP 04/24/26","1","$4.86","$0.66","-$486.66"
"04/17/2026","Sell","PANL","PANGAEA LOGISTICS SOLU F","100","$7.8737","$0.04","$787.33"
"04/17/2026","Sell","NOW","SERVICENOW INC","10","$97.825","$0.02","$978.23"
"04/17/2026","Sell","RTX","RTX CORP","25","$198.00","$0.10","$4949.90"
"04/17/2026","Sell","V","VISA INC CLASS CLASS A","10","$317.2001","$0.07","$3171.93"
"04/17/2026","Buy","V","VISA INC CLASS CLASS A","10","$316.80","","-$3168.00"
"04/17/2026","Buy","LMT","LOCKHEED MARTIN CORP","10","$607.483","","-$6074.83"
"04/17/2026","Buy","NOW","SERVICENOW INC","10","$96.89","","-$968.90"
"04/16/2026","Buy","RTX","RTX CORP","25","$195.8895","","-$4897.24"
"04/16/2026","Sell to Close","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","1","$8.60","$0.68","$859.32"
"04/16/2026","Sell to Close","NKE 12/17/2027 45.00 C","CALL NIKE INC $45 EXP 12/17/27","1","$10.26","$0.68","$1025.32"
"04/16/2026","Sell","NKE","NIKE INC CLASS CLASS B","100","$46.2301","$0.12","$4622.89"
"04/16/2026 as of 04/15/2026","Bank Interest","","BANK INT ...526 SCHWAB BANK","","","","$0.31"
"04/15/2026","Buy","NKE","NIKE INC CLASS CLASS B","100","$45.27","","-$4527.00"
"04/14/2026","Sell","WHWK","WHITEHAWK THERAPEUTICS I","1,000","$3.68","$0.28","$3679.72"
"04/14/2026","Sell to Close","SNOW 12/15/2028 130.00 C","CALL SNOWFLAKE INC $130 EXP 12/15/28","1","$62.50","$0.79","$6249.21"
"04/14/2026","Sell","TSLA","TESLA INC","10","$358.46","$0.07","$3584.53"
"04/14/2026","Buy","TSLA","TESLA INC","10","$353.98","","-$3539.80"
"04/13/2026","Sell","CNTB","CONNECT BIOPHARMA HLDG F","1","$3.025","","$3.03"
"04/13/2026","Buy to Open","SNOW 12/15/2028 130.00 C","CALL SNOWFLAKE INC $130 EXP 12/15/28","1","$55.85","$0.66","-$5585.66"
"04/13/2026","Buy to Open","RIVN 12/15/2028 15.00 C","CALL RIVIAN AUTOMOTIVE I$15 EXP 12/15/28","1","$7.80","$0.66","-$780.66"
"04/13/2026","Buy to Close","SPY 04/14/2026 677.00 C","CALL STATE STREET SPDR S$677 EXP 04/14/26","1","$3.56","$0.66","-$356.66"
"04/13/2026","Sell to Close","SPY 04/14/2026 695.00 C","CALL STATE STREET SPDR S$695 EXP 04/14/26","1","$0.01","$0.66","$0.34"
"04/13/2026","Sell to Close","SPY 04/14/2026 682.00 C","CALL STATE STREET SPDR S$682 EXP 04/14/26","1","$0.95","$0.66","$94.34"
"04/13/2026","Buy to Close","SPY 04/14/2026 666.00 C","CALL STATE STREET SPDR S$666 EXP 04/14/26","1","$13.05","$0.66","-$1305.66"
"04/08/2026","Buy to Open","SPY 04/14/2026 695.00 C","CALL STATE STREET SPDR S$695 EXP 04/14/26","1","$0.19","$0.66","-$19.66"
"04/08/2026","Sell to Open","SPY 04/14/2026 677.00 C","CALL STATE STREET SPDR S$677 EXP 04/14/26","1","$4.89","$0.67","$488.33"
"04/08/2026","Sell to Close","DB 01/21/2028 30.00 C","CALL DEUTSCHE BANK AG $30 EXP 01/21/28","1","$7.10","$0.67","$709.33"
"04/08/2026","Sell to Close","NVDA 12/15/2028 180.00 C","CALL NVIDIA CORP $180 EXP 12/15/28","1","$57.70","$0.78","$5769.22"
"04/08/2026","Sell","VTI","VANGUARD TOTAL STOCK MARKET INDEX FUND ETF SHARES","1","$333.6999","$0.01","$333.69"
"04/07/2026","Buy to Open","SPY 04/14/2026 682.00 C","CALL STATE STREET SPDR S$682 EXP 04/14/26","1","$0.55","$0.66","-$55.66"
"04/07/2026","Sell to Open","SPY 04/14/2026 666.00 C","CALL STATE STREET SPDR S$666 EXP 04/14/26","1","$5.54","$0.67","$553.33"
"04/07/2026","Sell","ORCL","ORACLE CORP","50","$143.015","$0.16","$7150.59"
"04/07/2026","Sell to Close","MSFT 04/24/2026 340.00 P","PUT MICROSOFT CORP $340 EXP 04/24/26","1","$1.83","$0.66","$182.34"
"04/07/2026","Buy to Close","MSFT 04/24/2026 360.00 P","PUT MICROSOFT CORP $360 EXP 04/24/26","1","$5.87","$0.66","-$587.66"
"04/07/2026","Sell to Close","MSFT 04/17/2026 370.00 P","PUT MICROSOFT CORP $370 EXP 04/17/26","1","$7.80","$0.68","$779.32"
